"path_name","signs","hop","net_sign","contribution","lr_annotation"
"CD4conv->CD8->NK->Tumor","+,-,-",3,1,8.23495405151313e-05,"CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->Macrophage->Treg->Tumor","-,+,-",3,1,8.20591092826641e-05,"CAF-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->CD4conv->Macrophage->Tumor","+,-,-",3,1,8.15754934139147e-05,"Treg-+>CD4conv[LR7/LR8/LR10/LR11/LR12] | CD4conv-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Endo->Treg->Macrophage->Tumor","+,-,-",3,1,8.13765951375842e-05,"Endo-+>Treg[LR8/LR9/LR11/LR12] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Treg->Treg->CD8->Tumor","-,+,-",3,1,8.12256830013191e-05,"Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Endo->CD8->Tumor","+,-,-",3,1,8.12231666247272e-05,"CD8-+>Endo[LR7/LR8/LR9/LR10/LR11] | Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->CD8->NK->Tumor","+,-,-",3,1,8.10257943435902e-05,"CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->Treg->NK->Tumor","-,-,+",3,1,8.10189063057708e-05,"CD4conv-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>Tumor[LR7/LR8/LR10/LR11/LR12]"
"Bcell->Macrophage->CD8->Tumor","-,+,-",3,1,8.09870940382125e-05,"Bcell-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->Treg->CD8->Tumor","-,+,-",3,1,8.05537487729612e-05,"Bcell-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->CD8->Treg->Tumor","+,-,-",3,1,8.05058271494017e-05,"CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->CD8->CD4conv->Tumor","-,+,-",3,1,8.04013967429191e-05,"Bcell-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->Macrophage->CD4conv->Tumor","-,+,-",3,1,8.03190185744803e-05,"Bcell-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Bcell->Macrophage->Treg->Tumor","+,-,-",3,1,8.00137944818814e-05,"Bcell-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD4conv->Treg->Tumor","-,+,-",3,1,7.9955676595899e-05,"Tumor-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->NK->CD4conv->Tumor","-,+,-",3,1,7.98452447516943e-05,"Endo-->NK[LR1/LR2/LR3/LR5/LR6] | NK-+>CD4conv[LR7/LR8/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Macrophage->Bcell->Tumor","+,-,-",3,1,7.97652796994904e-05,"CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->Bcell[LR1/LR2/LR3/LR5/LR6] | Bcell-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->CD8->Bcell->Tumor","-,+,-",3,1,7.96648191804034e-05,"Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-+>Bcell[LR7/LR8/LR9/LR10/LR11/LR12] | Bcell-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Macrophage->NK->Tumor","-,-,+",3,1,7.95018128463297e-05,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->NK[LR1/LR2/LR3/LR5/LR6] | NK-+>Tumor[LR7/LR8/LR10/LR11/LR12]"
