"sender","receiver","lr_pair","score","sign","sender_name","receiver_name"
4,4,5,1.51120023950082,-1,"Bcell","Bcell"
4,5,5,2.47297664705651,-1,"Bcell","Treg"
4,6,5,4.7324603443529,-1,"Bcell","Macrophage"
4,7,5,0.817037361812563,-1,"Bcell","Endo"
4,8,5,0.520064027216769,-1,"Bcell","CAF"
4,9,5,4.48206807936507,-1,"Bcell","NK"
5,1,5,0.459038066473458,-1,"Treg","Tumor"
5,2,5,4.07912330191615,-1,"Treg","CD8"
5,3,5,1.4631991718694,-1,"Treg","CD4conv"
5,4,5,1.13658912294691,-1,"Treg","Bcell"
5,5,5,1.85995097464689,-1,"Treg","Treg"
5,6,5,3.55933172293954,-1,"Treg","Macrophage"
5,7,5,0.61450213823692,-1,"Treg","Endo"
5,8,5,0.391145462474118,-1,"Treg","CAF"
5,9,5,3.37100914502015,-1,"Treg","NK"
6,1,5,1.53988108730229,-1,"Macrophage","Tumor"
6,2,5,13.6837558454598,-1,"Macrophage","CD8"
6,3,5,4.90842240824999,-1,"Macrophage","CD4conv"
6,4,5,3.81278203767585,-1,"Macrophage","Bcell"
6,5,5,6.23935908229043,-1,"Macrophage","Treg"
6,6,5,11.9400720852997,-1,"Macrophage","Macrophage"
6,7,5,2.06139814949871,-1,"Macrophage","Endo"
6,8,5,1.31212974269277,-1,"Macrophage","CAF"
6,9,5,11.3083284517532,-1,"Macrophage","NK"
7,1,5,1.18578013445833,-1,"Endo","Tumor"
7,2,5,10.5371291199832,-1,"Endo","CD8"
7,3,5,3.77971379168604,-1,"Endo","CD4conv"
7,4,5,2.93601969306352,-1,"Endo","Bcell"
7,5,5,4.80459699943037,-1,"Endo","Treg"
7,6,5,9.19441143832263,-1,"Endo","Macrophage"
7,7,5,1.58737255431003,-1,"Endo","Endo"
7,8,5,1.01040099495135,-1,"Endo","CAF"
7,9,5,8.7079394263556,-1,"Endo","NK"
8,1,5,0.123298242844298,-1,"CAF","Tumor"
8,2,5,1.09565801227636,-1,"CAF","CD8"
8,3,5,0.39301726806389,-1,"CAF","CD4conv"
8,4,5,0.305289369075449,-1,"CAF","Bcell"
8,5,5,0.499585336598136,-1,"CAF","Treg"
8,6,5,0.956041294156565,-1,"CAF","Macrophage"
8,7,5,0.165056101884433,-1,"CAF","Endo"
8,8,5,0.105062197978667,-1,"CAF","CAF"
8,9,5,0.905457596112185,-1,"CAF","NK"
9,1,5,0.459208504146755,-1,"NK","Tumor"
9,2,5,4.08063785231066,-1,"NK","CD8"
9,3,5,1.46374244764681,-1,"NK","CD4conv"
9,4,5,1.13701113066209,-1,"NK","Bcell"
9,5,5,1.86064156163676,-1,"NK","Treg"
9,6,5,3.56065327829988,-1,"NK","Macrophage"
9,7,5,0.614730298649589,-1,"NK","Endo"
9,8,5,0.391290692091036,-1,"NK","CAF"
9,9,5,3.37226077750404,-1,"NK","NK"
1,1,6,0.0270919130701918,-1,"Tumor","Tumor"
1,2,6,2.56983809892825,-1,"Tumor","CD8"
1,3,6,1.17998116277583,-1,"Tumor","CD4conv"
1,4,6,0.0414344947004015,-1,"Tumor","Bcell"
1,5,6,2.81106885500762,-1,"Tumor","Treg"
1,6,6,0.0397981296084244,-1,"Tumor","Macrophage"
1,8,6,0.0179954768418411,-1,"Tumor","CAF"
1,9,6,1.20005862091127,-1,"Tumor","NK"
2,1,6,0.00922819676981148,-1,"CD8","Tumor"
2,2,6,0.875352419078918,-1,"CD8","CD8"
2,3,6,0.401931688122356,-1,"CD8","CD4conv"
2,4,6,0.0141136459858835,-1,"CD8","Bcell"
2,5,6,0.95752176896068,-1,"CD8","Treg"
2,6,6,0.0135562582880531,-1,"CD8","Macrophage"
2,8,6,0.00612971851905916,-1,"CD8","CAF"
2,9,6,0.408770582586229,-1,"CD8","NK"
3,1,6,0.00812049182204071,-1,"CD4conv","Tumor"
3,2,6,0.770279648109315,-1,"CD4conv","CD8"
3,3,6,0.353685889868957,-1,"CD4conv","CD4conv"
3,4,6,0.0124195170157697,-1,"CD4conv","Bcell"
3,5,6,0.842585814783184,-1,"CD4conv","Treg"
3,6,6,0.0119290352504973,-1,"CD4conv","Macrophage"
3,8,6,0.00539393885360859,-1,"CD4conv","CAF"
3,9,6,0.359703878859759,-1,"CD4conv","NK"
4,1,6,0.00826162767622613,-1,"Bcell","Tumor"
4,2,6,0.783667270248467,-1,"Bcell","CD8"
4,3,6,0.359833024953128,-1,"Bcell","CD4conv"
4,4,6,0.0126353708311548,-1,"Bcell","Bcell"
4,5,6,0.857230133292461,-1,"Bcell","Treg"
4,6,6,0.0121363643897395,-1,"Bcell","Macrophage"
4,8,6,0.00548768664428571,-1,"Bcell","CAF"
4,9,6,0.36595560785712,-1,"Bcell","NK"
5,1,6,0.00644813217272106,-1,"Treg","Tumor"
5,2,6,0.611645832520245,-1,"Treg","CD8"
5,3,6,0.280846704298309,-1,"Treg","CD4conv"
5,4,6,0.00986180258462671,-1,"Treg","Bcell"
5,5,6,0.669061039607879,-1,"Treg","Treg"
5,6,6,0.00947233217814202,-1,"Treg","Macrophage"
5,8,6,0.00428309410585714,-1,"Treg","CAF"
5,9,6,0.285625329691582,-1,"Treg","NK"
6,1,6,0.0126113266496857,-1,"Macrophage","Tumor"
6,2,6,1.19626353511558,-1,"Macrophage","CD8"
6,3,6,0.549283022047458,-1,"Macrophage","CD4conv"
6,4,6,0.0192878201652866,-1,"Macrophage","Bcell"
6,5,6,1.30855681816966,-1,"Macrophage","Treg"
6,6,6,0.0185260897315738,-1,"Macrophage","Macrophage"
6,8,6,0.00837692178036014,-1,"Macrophage","CAF"
6,9,6,0.558629109279665,-1,"Macrophage","NK"
7,1,6,0.0626638131651944,-1,"Endo","Tumor"
7,2,6,5.9440562236714,-1,"Endo","CD8"
7,3,6,2.72930593461815,-1,"Endo","CD4conv"
7,4,6,0.0958383200098545,-1,"Endo","Bcell"
7,5,6,6.50202490567225,-1,"Endo","Treg"
7,6,6,0.0920533943706782,-1,"Endo","Macrophage"
7,8,6,0.0416236828943779,-1,"Endo","CAF"
7,9,6,2.77574525701563,-1,"Endo","NK"
8,1,6,0.050374495060924,-1,"CAF","Tumor"
8,2,6,4.77833722138541,-1,"CAF","CD8"
8,3,6,2.19404791024651,-1,"CAF","CD4conv"
8,4,6,0.0770429811741043,-1,"CAF","Bcell"
8,5,6,5.22687983626754,-1,"CAF","Treg"
8,6,6,0.0740003364915342,-1,"CAF","Macrophage"
8,8,6,0.0334606514106122,-1,"CAF","CAF"
8,9,6,2.23137978168206,-1,"CAF","NK"
9,1,6,0.0164247635985774,-1,"NK","Tumor"
9,2,6,1.55799197908821,-1,"NK","CD8"
9,3,6,0.715376267418027,-1,"NK","CD4conv"
9,4,6,0.0251201079273131,-1,"NK","Bcell"
9,5,6,1.70424071874142,-1,"NK","Treg"
9,6,6,0.02412804399565,-1,"NK","Macrophage"
9,8,6,0.0109099513277311,-1,"NK","CAF"
9,9,6,0.727548442291042,-1,"NK","NK"
1,1,7,0.000745748403763157,1,"Tumor","Tumor"
1,2,7,0.0144743847177733,1,"Tumor","CD8"
1,3,7,0.0221329625630255,1,"Tumor","CD4conv"
1,4,7,0.00117261969383798,1,"Tumor","Bcell"
1,5,7,0.0248157071614852,1,"Tumor","Treg"
1,6,7,0.00483769788697459,1,"Tumor","Macrophage"
1,7,7,0.000469871210511458,1,"Tumor","Endo"
1,8,7,0.000435679119395386,1,"Tumor","CAF"
1,9,7,0.000820886392218322,1,"Tumor","NK"
2,1,7,0.0156103779475726,1,"CD8","Tumor"
2,2,7,0.302985048124582,1,"CD8","CD8"
2,3,7,0.463298223589672,1,"CD8","CD4conv"
2,4,7,0.0245458609327325,1,"CD8","Bcell"
2,5,7,0.519454773047155,1,"CD8","Treg"
2,6,7,0.101265107683463,1,"CD8","Macrophage"
2,7,7,0.00983557879005105,1,"CD8","Endo"
2,8,7,0.00911985286633959,1,"CD8","CAF"
2,9,7,0.0171832038391021,1,"CD8","NK"
3,1,7,0.00550591475277663,1,"CD4conv","Tumor"
3,2,7,0.106865436054306,1,"CD4conv","CD8"
3,3,7,0.163409273802639,1,"CD4conv","CD4conv"
3,4,7,0.00865753656208886,1,"CD4conv","Bcell"
3,5,7,0.183216172467195,1,"CD4conv","Treg"
3,6,7,0.0357170756664859,1,"CD4conv","Macrophage"
3,7,7,0.003469093352135,1,"CD4conv","Endo"
3,8,7,0.00321665065436416,1,"CD4conv","CAF"
3,9,7,0.0060606639913156,1,"CD4conv","NK"
4,1,7,0.0138385041093727,1,"Bcell","Tumor"
4,2,7,0.268594383020848,1,"Bcell","CD8"
4,3,7,0.410711027788261,1,"Bcell","CD4conv"
4,4,7,0.0217597548583716,1,"Bcell","Bcell"
4,5,7,0.460493463745003,1,"Bcell","Treg"
4,6,7,0.0897708955875463,1,"Bcell","Macrophage"
4,7,7,0.00871918014805947,1,"Bcell","Endo"
4,8,7,0.00808469351553013,1,"Bcell","CAF"
4,9,7,0.0152328045956491,1,"Bcell","NK"
5,1,7,0.0161677353027325,1,"Treg","Tumor"
5,2,7,0.313802912089366,1,"Treg","CD8"
5,3,7,0.479839954572574,1,"Treg","CD4conv"
5,4,7,0.025422253302958,1,"Treg","Bcell"
5,5,7,0.538001533375641,1,"Treg","Treg"
5,6,7,0.104880705766866,1,"Treg","Macrophage"
