"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Tumor->Macrophage->CD8->Treg","-,-,+",3,1,0.0011932695201639,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->CD8->Treg","-,-,+",3,1,0.00117573818751517,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Treg->CD8","+,-,-",3,1,0.00117141558465472,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Endo->Treg","-,+,-",3,1,0.00115001924634404,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Endo[LR7/LR8/LR9/LR10/LR11] | Endo-->Treg[LR1/LR2/LR3/LR5/LR6]"
"Treg->Tumor->CD8","+,+",2,1,0.00114933547246815,"Treg-+>Tumor[LR7/LR8/LR10/LR11/LR12] | Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Macrophage->Treg->CD8","+,+,+",3,1,0.00114025883828321,"Tumor-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->CD8->Treg->CD8","-,-,+",3,1,0.00113012178414487,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD8->CD8","+,-,-",3,1,0.00110953383586848,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD4conv->CD8","-,-,+",3,1,0.00110701505240815,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Treg->Macrophage","-,-,+",3,1,0.00110576159118133,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD8->CD8","-,+,-",3,1,0.00110421230138948,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->NK->CD8","+,-,-",3,1,0.00110258938876472,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Macrophage->CD8->Treg","+,-,-",3,1,0.00109696297229569,"Tumor-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Tumor->Treg","-,-",2,1,0.00108935090182635,"CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6] | Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->Treg","+,-,-",3,1,0.00108259852261004,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg->CD4conv","-,+,-",3,1,0.00108059607322687,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg->Treg","-,-,+",3,1,0.00107858436695489,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD8->Treg","-,+,-",3,1,0.00107740617499636,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD4conv->Treg->CD8","-,+,-",3,1,0.00107077499152315,"Tumor-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->CAF->Treg","-,+,-",3,1,0.00105558190630518,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CAF[LR7/LR8/LR9/LR10/LR11] | CAF-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Macrophage->Treg->CD8","-,+,-",3,1,0.00105072765357865,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
