"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Macrophage->Treg->CD8","-,-",2,1,0.012898587482815,"Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->NK","-,-",2,1,0.0128805182085648,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->CD8->CD8","+,+",2,1,0.012846226928989,"CD4conv-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"CAF->CD8->Treg","-,-",2,1,0.0127484106750739,"CAF-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"NK->CD8->Treg","+,+",2,1,0.0127256052241559,"NK-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Macrophage->Macrophage->Treg","-,-",2,1,0.0126777249530844,"Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6]"
"CD8->CD8->CD8","+,+",2,1,0.0126397273710118,"CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Endo->Macrophage->Treg","-,-",2,1,0.0124648151629482,"Endo-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6]"
"NK->Macrophage->CD8","-,-",2,1,0.0124410213872372,"NK-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"CD4conv->Treg->CD8","-,-",2,1,0.0123863628656879,"CD4conv-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->Macrophage->NK","-,-",2,1,0.0123657083931082,"Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->NK[LR1/LR2/LR3/LR5/LR6]"
"Macrophage->NK->CD8","-,-",2,1,0.0123494328110745,"Macrophage-->NK[LR1/LR2/LR3/LR5/LR6] | NK-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Macrophage->CD4conv","+,+",2,1,0.0123382171667417,"CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12]"
"Macrophage->NK->Treg","-,-",2,1,0.0122717778728814,"Macrophage-->NK[LR1/LR2/LR3/LR5/LR6] | NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->CD8->Macrophage","-,-",2,1,0.0122484669607234,"Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
