"route","obs","null_mean","p","p_adj"
"CD8 ~~> Macrophage",0.0890058957976838,0.0918334339654786,0.494752623688156,0.663097022917113
"CAF ~~> CD4conv",0.0484811909299128,0.0498999469393562,0.486256871564218,0.663097022917113
"CD8 ~~> Bcell",0.0402510517549484,0.0401807865815848,0.384307846076962,0.663097022917113
"CD8 ~~> Endo",0.0297948963569164,0.029944891395299,0.39880059970015,0.663097022917113
"Bcell ~~> CAF",0.0237152751441462,0.0237599869446829,0.381809095452274,0.663097022917113
"Tumor ~~> CAF",0.023638364334072,0.0239045550314917,0.459770114942529,0.663097022917113
"NK ~~> CAF",0.0234953880644213,0.0236020749802779,0.406296851574213,0.663097022917113
"Treg ~~> CAF",0.023486023330773,0.0237216353386867,0.444277861069465,0.663097022917113
"Endo ~~> CAF",0.0234656549976858,0.0236277610540737,0.430784607696152,0.663097022917113
"Macrophage ~~> CAF",0.0233654773098922,0.0236234794946106,0.458270864567716,0.663097022917113
"CD4conv ~~> CAF",0.0233210564969942,0.023619661241552,0.453273363318341,0.663097022917113
"CD8 ~~> CAF",0.0229947166766047,0.0234772262622649,0.511244377811094,0.663097022917113
"CD8 ~~> Tumor",0.0217635829787436,0.0218550024965972,0.399300349825087,0.663097022917113
"CD4conv ~~> CD8",0.0909781391094075,0.0941082139087284,0.55272363818091,0.686139688776301
"Bcell ~~> CD4conv",0.0502174745272353,0.0518167646826169,0.544227886056971,0.686139688776301
"CAF ~~> Treg",0.0671373934391867,0.0706753637143673,0.631184407796102,0.733695652173913
"NK ~~> CD4conv",0.0499344790224025,0.0519152179590517,0.608195902048976,0.733695652173913
"Treg ~~> CD4conv",0.0496223998359314,0.051877090609443,0.64167916041979,0.733695652173913
"Endo ~~> CD4conv",0.0490004168397476,0.0510684878440755,0.648175912043978,0.733695652173913
"Tumor ~~> CD4conv",0.0489876987786462,0.0514604358318751,0.649175412293853,0.733695652173913
"Macrophage ~~> CD4conv",0.0488332347184261,0.0508578624090734,0.652173913043478,0.733695652173913
"NK ~~> Treg",0.0692892292877409,0.0731458071229113,0.770614692653673,0.853603967247146
"Bcell ~~> Treg",0.0689447180082488,0.0731043731270841,0.806596701649175,0.866790485354338
"CD8 ~~> CD4conv",0.0492014755793574,0.0520114780380293,0.8055972013993,0.866790485354338
"Tumor ~~> Treg",0.0680283179928367,0.0728951948794621,0.851074462768616,0.901137666460887
"CD8 ~~> Treg",0.0686103186727803,0.073168937373411,0.904547726136932,0.904547726136932
"CD4conv ~~> Treg",0.0685588968246496,0.0732276127105151,0.887056471764118,0.904547726136932
"Macrophage ~~> Treg",0.0676893849859,0.0715771915323889,0.886056971514243,0.904547726136932
"Endo ~~> Treg",0.0674089356938648,0.0718140362179271,0.892553723138431,0.904547726136932
